ID,Name,Parameter,Language,Frequency,Confidence,References
1A-fin,Moderately small,Consonant Inventories,Finnish,,,Harms 1964;Lehtinen 1970;Wiik 1965
2A-fin,Large (7-14),Vowel Quality Inventories,Finnish,,,Harms 1964;Lehtinen 1970;Wiik 1965
3A-fin,Moderately low,Consonant-Vowel Ratio,Finnish,,,Lehtinen 1970;Wiik 1965;Harms 1964
4A-fin,In both plosives and fricatives,Voicing in Plosives and Fricatives,Finnish,,,Harms 1964;Lehtinen 1970;Wiik 1965
5A-fin,None missing in /p t k b d g/,Voicing and Gaps in Plosive Systems,Finnish,,,Wiik 1965;Harms 1964;Lehtinen 1970
6A-fin,None,Uvular Consonants,Finnish,,,Harms 1964;Lehtinen 1970;Wiik 1965
7A-fin,No glottalized consonants,Glottalized Consonants,Finnish,,,Lehtinen 1970;Wiik 1965;Harms 1964
8A-fin,"/l/, no obstruent laterals",Lateral Consonants,Finnish,,,Lehtinen 1970;Harms 1964;Wiik 1965
9A-fin,No initial velar nasal,The Velar Nasal,Finnish,,,Sulkala and Karjalainen 1992
10A-fin,Contrast absent,Vowel Nasalization,Finnish,,,Sulkala and Karjalainen 1992
11A-fin,High and mid,Front Rounded Vowels,Finnish,,,Harms 1964;Lehtinen 1970;Wiik 1965
12A-fin,Moderately complex,Syllable Structure,Finnish,,,Wiik 1965;Harms 1964;Lehtinen 1970
13A-fin,No tones,Tone,Finnish,,,Lehtinen 1970;Harms 1964;Wiik 1965
14A-fin,Initial,Fixed Stress Locations,Finnish,,,Fromm 1982
15A-fin,Fixed stress (no weight-sensitivity),Weight-Sensitive Stress,Finnish,,,Fromm 1982
16A-fin,No weight,Weight Factors in Weight-Sensitive Stress Systems,Finnish,,,Fromm 1982
17A-fin,Trochaic,Rhythm Types,Finnish,,,Fromm 1982
18A-fin,All present,Absence of Common Consonants,Finnish,,,Harms 1964;Lehtinen 1970;Wiik 1965
19A-fin,None,Presence of Uncommon Consonants,Finnish,,,Lehtinen 1970;Harms 1964;Wiik 1965
20A-fin,Exclusively concatenative,Fusion of Selected Inflectional Formatives,Finnish,,,Whitney 1973;Karlsson 1999
21A-fin,Case + number,Exponence of Selected Inflectional Formatives,Finnish,,,Karlsson 1999;Sulkala and Karjalainen 1992;Whitney 1973
21B-fin,monoexponential TAM,Exponence of Tense-Aspect-Mood Inflection,Finnish,,,Sulkala and Karjalainen 1992;Whitney 1973;Karlsson 1999
22A-fin,2-3 categories per word,Inflectional Synthesis of the Verb,Finnish,,,Whitney 1973
23A-fin,Dependent marking,Locus of Marking in the Clause,Finnish,,,Karlsson 1999
24A-fin,Double marking,Locus of Marking in Possessive Noun Phrases,Finnish,,,Karlsson 1999
25A-fin,Inconsistent or other,Locus of Marking: Whole-language Typology,Finnish,,,Karlsson 1999
25B-fin,Non-zero marking,Zero Marking of A and P Arguments,Finnish,,,Karlsson 1999
26A-fin,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Finnish,,,Whitney 1973;Sulkala and Karjalainen 1992;Neuvonen 1935
27A-fin,No productive reduplication,Reduplication,Finnish,,,Mitchell 2001
28A-fin,Core and non-core,Case Syncretism,Finnish,,,Sulkala and Karjalainen 1992
29A-fin,Not syncretic,Syncretism in Verbal Person/Number Marking,Finnish,,,Sulkala and Karjalainen 1992
30A-fin,None,Number of Genders,Finnish,,,Karlsson 1999
31A-fin,No gender,Sex-based and Non-sex-based Gender Systems,Finnish,,,Karlsson 1999
32A-fin,No gender,Systems of Gender Assignment,Finnish,,,Karlsson 1999
33A-fin,Plural suffix,Coding of Nominal Plurality,Finnish,,,Whitney 1973;Sulkala and Karjalainen 1992
34A-fin,"All nouns, always obligatory",Occurrence of Nominal Plurality,Finnish,,,Karlsson 1999
35A-fin,Person-number stem,Plurality in Independent Personal Pronouns,Finnish,,,Jeliseev 1993
36A-fin,No associative plural,The Associative Plural,Finnish,,,
37A-fin,No definite or indefinite article,Definite Articles,Finnish,,,Sulkala and Karjalainen 1992
38A-fin,No definite or indefinite article,Indefinite Articles,Finnish,,,Sulkala and Karjalainen 1992
39A-fin,No inclusive/exclusive,Inclusive/Exclusive Distinction in Independent Pronouns,Finnish,,,Karlsson 1982
40A-fin,No inclusive/exclusive,Inclusive/Exclusive Distinction in Verbal Inflection,Finnish,,,Karlsson 1982
41A-fin,Two-way contrast,Distance Contrasts in Demonstratives,Finnish,,,Laury 1995
42A-fin,Identical,Pronominal and Adnominal Demonstratives,Finnish,,,Laury 1995
43A-fin,Unrelated,Third Person Pronouns and Demonstratives,Finnish,,,Sulkala and Karjalainen 1992
44A-fin,No gender distinctions,Gender Distinctions in Independent Personal Pronouns,Finnish,,,Sulkala and Karjalainen 1992
