model	perturbation	language	task	probing_location	dev_acc	test_acc
chLSTM		Afrikaans	number_noun	first	90.05	87.1
chLSTM		Afrikaans	number_noun	last	92.6	90.3
chLSTM		Albanian	case_noun	first	67.45	66.15
chLSTM		Albanian	case_noun	last	69.3	67.8
chLSTM		Albanian	case_propn	first	82.8358208955224	78.35
chLSTM		Albanian	case_propn	last	85.27363184079601	80.45
chLSTM		Albanian	definite_noun	first	84.65	82.5
chLSTM		Albanian	definite_noun	last	89.25	86.75
chLSTM		Albanian	gender_noun	first	83.55	80.55
chLSTM		Albanian	gender_noun	last	84.1	85.75
chLSTM		Albanian	gender_propn	first	86.3	79.9
chLSTM		Albanian	gender_propn	last	86.25	82.6
chLSTM		Albanian	number_noun	first	90.45	89.4
chLSTM		Albanian	number_noun	last	92.0	87.85
chLSTM		Albanian	number_verb	first	84.5	85.35
chLSTM		Albanian	number_verb	last	92.65	92.0
chLSTM		Arabic	aspect_verb	first	93.7	90.1
chLSTM		Arabic	aspect_verb	last	93.4	91.6
chLSTM		Arabic	case_adj	first	70.79601990049751	64.22885572139303
chLSTM		Arabic	case_adj	last	67.01492537313433	61.442786069651746
chLSTM		Arabic	case_noun	first	71.99004975124379	64.27860696517413
chLSTM		Arabic	case_noun	last	72.48756218905473	61.64179104477612
chLSTM		Arabic	definite_noun	first	85.67164179104478	75.5223880597015
chLSTM		Arabic	definite_noun	last	88.30845771144278	75.02487562189056
chLSTM		Arabic	gender_adj	first	97.55	98.4
chLSTM		Arabic	gender_adj	last	99.2	99.3
chLSTM		Arabic	gender_verb	first	96.8	93.25
chLSTM		Arabic	gender_verb	last	96.0	91.0
chLSTM		Armenian	animacy_noun	first	74.55	75.2
chLSTM		Armenian	animacy_noun	last	73.6	72.8
chLSTM		Armenian	definite_noun	first	98.15	96.55
chLSTM		Armenian	definite_noun	last	99.4	98.0
chLSTM		Armenian	subcat_verb	first	81.95	72.4
chLSTM		Armenian	subcat_verb	last	84.1	76.95
chLSTM		Basque	case_noun	first	89.95215311004785	88.08612440191388
chLSTM		Basque	case_noun	last	94.54545454545453	94.25837320574162
chLSTM		Basque	definite_noun	first	85.45	81.55
chLSTM		Basque	definite_noun	last	88.6	85.8
chLSTM		Basque	number_noun	first	88.0	91.95
chLSTM		Basque	number_noun	last	90.85	93.85
